OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;;;;;
 ;Turkey;6,2;5,3;9,4;8,4;6,9;4,7;0,7;-4,8;9,2;8,8;2,1;4,2;2,9
 ;United Kingdom;2,5;3,3;2,5;3,0;2,7;2,6;-0,5;-4,2;1,5;2,0;1,2;2,2;2,9
 ;United States;1,8;2,8;3,8;3,3;2,7;1,8;-0,3;-2,8;2,5;1,6;2,2;1,5;2,4
 ;Euro area;0,9;0,7;2,3;1,7;3,2;3,0;0,5;-4,6;2,0;1,6;-0,8;-0,3;0,9
 ;EU 28;1,3;1,5;2,5;2,0;3,4;3,1;0,5;-4,4;2,1;1,7;-0,5;0,2;1,4
 ;OECD;1,7;2,1;3,3;2,8;3,1;2,7;0,3;-3,5;3,0;1,9;1,3;1,2;1,8
 ;Brazil;3,1;1,2;5,7;3,1;4,0;6,0;5,0;-0,2;7,6;3,9; ..; ..; ..
 ;China;9,1;10,0;10,1;11,3;12,7;14,2;9,6;9,2;10,4;9,4;7,8;7,7;7,4
 ;India; ..; ..; ..;9,3;9,3;9,8;4,9;9,1; ..; ..; ..; ..; ..
 ;Indonesia;4,5;4,8;5,0;5,7;5,5;6,3;6,0;4,7;6,4;6,2;6,0;5,6;5,0
 ;Russian Federation;4,7;7,3;7,2;6,4;8,2;8,5;5,2;-7,8;4,5;4,3;3,4;1,3;0,6
 ;South Africa;3,7;2,9;4,6;5,3;5,6;5,4;3,2;-1,5;3,0;3,2;2,2;2,2;1,5
..;Not available;;;;;;;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;;;;;;;
